구분,65세 이상 인구,80세 이상 인구,85세 이상 인구,100세 이상 인구,데이터기준일자
제주시,66690,17643,8197,169,2020-01-02
한림읍,4453,1333,619,28,2020-01-02
애월읍,6045,1832,879,13,2020-01-02
구좌읍,3872,1347,671,7,2020-01-02
조천읍,4490,1306,600,5,2020-01-02
한경면,2452,869,426,8,2020-01-02
추자면,598,179,76,0,2020-01-02
우도면,435,157,70,0,2020-01-02
일도1동,680,163,85,9,2020-01-02
일도2동,4792,1080,448,15,2020-01-02
이도1동,1347,384,191,5,2020-01-02
이도2동,5373,1166,534,10,2020-01-02
삼도1동,2420,588,234,5,2020-01-02
삼도2동,1488,410,195,11,2020-01-02
용담1동,1414,353,170,5,2020-01-02
용담2동,2781,694,321,8,2020-01-02
건입동,1822,428,198,6,2020-01-02
화북동,2871,730,337,7,2020-01-02
삼양동,2418,605,280,1,2020-01-02
봉개동,848,264,123,1,2020-01-02
아라동,3040,754,355,11,2020-01-02
오라동,1372,357,176,6,2020-01-02
연동,4153,800,369,3,2020-01-02
노형동,4517,1012,459,2,2020-01-02
외도동,1940,515,232,1,2020-01-02
이호동,639,175,74,0,2020-01-02
도두동,430,142,75,2,2020-01-02
서귀포시,33707,9093,4073,101,2020-01-02
대정읍,4201,1297,602,17,2020-01-02
남원읍,4410,1310,559,9,2020-01-02
성산읍,3566,1066,501,7,2020-01-02
안덕면,2403,714,327,8,2020-01-02
표선면,2606,687,294,8,2020-01-02
송산동,996,244,105,6,2020-01-02
정방동,496,126,68,3,2020-01-02
중앙동,830,187,79,3,2020-01-02
천지동,769,167,69,2,2020-01-02
효돈동,1199,357,164,6,2020-01-02
영천동,1223,365,188,7,2020-01-02
동홍동,2962,604,271,3,2020-01-02
서홍동,1397,300,127,2,2020-01-02
대륜동,2182,472,207,6,2020-01-02
대천동,1805,434,188,2,2020-01-02
중문동,1815,489,191,7,2020-01-02
예래동,847,274,133,5,2020-01-02
